"WFD_ID","WFD_VERSION","NAME","family_folder","file_name","relative_path","compressed_bytes","decompressed_bytes","preamble_bytes","data_id","mod_date","edited_by","status","error"
"808","7","FA_CLIENTS_WORKERS_COMP","01_FA_CLIENTS","FA_CLIENTS_WORKERS_COMP__v007.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_WORKERS_COMP__v007.bpml.xml","974","3389","7","FA-INT-APPP:node1:1886084f233:3417444","6/1/2023 3:41:31 PM","rbmakram","OK",""
"1498","4","FA_CODY_REGIONAL_HOSPITAL_EPIC_IB_EO","05_FA_OTHER","FA_CODY_REGIONAL_HOSPITAL_EPIC_IB_EO__v004.bpml.xml","05_FA_OTHER\FA_CODY_REGIONAL_HOSPITAL_EPIC_IB_EO__v004.bpml.xml","359","843","7","FA-INT-APPP:node1:19ced66940d:29801624","3/23/2026 9:31:26 PM","mxkellogg","OK",""
"1155","2","FA_CUSTOM_INT_CONSUMER_ACCOUNTS_MERGE_CLA","06_FA_Specialized","FA_CUSTOM_INT_CONSUMER_ACCOUNTS_MERGE_CLA__v002.bpml.xml","06_FA_Specialized\FA_CUSTOM_INT_CONSUMER_ACCOUNTS_MERGE_CLA__v002.bpml.xml","633","1796","7","FA-INT-APPP:node1:18a7015890a:34849503","10/19/2023 3:35:51 PM","rbmakram","OK",""
"1456","1","FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL","04_FA_DM","FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL__v001.bpml.xml","04_FA_DM\FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL__v001.bpml.xml","380","948","7","FA-INT-APPP:node1:195ddbd9955:228872771","6/11/2025 10:07:29 AM","vxbandekar","OK",""
"818","36","FA_DM_ENOTICE","04_FA_DM","FA_DM_ENOTICE__v036.bpml.xml","04_FA_DM\FA_DM_ENOTICE__v036.bpml.xml","5357","39438","7","FA-INT-APPP:node1:19a6475cfff:7009827","11/10/2025 1:14:20 PM","rbmakram","OK",""
"823","1","FA_DM_ENOTICE_ARCHIVE","04_FA_DM","FA_DM_ENOTICE_ARCHIVE__v001.bpml.xml","04_FA_DM\FA_DM_ENOTICE_ARCHIVE__v001.bpml.xml","427","920","7","FA-INT-APPP:node1:17e6a036ee8:375686","1/21/2022 10:50:31 AM","rbmakram","OK",""
"815","2","FA_DM_INCEPTION_HOLD_TAG","04_FA_DM","FA_DM_INCEPTION_HOLD_TAG__v002.bpml.xml","04_FA_DM\FA_DM_INCEPTION_HOLD_TAG__v002.bpml.xml","955","3377","7","FA-INT-APPP:node1:17cd482a9b8:575837","11/5/2021 8:03:49 AM","rbmakram","OK",""
"811","8","FA_DM_ITS_REQST","04_FA_DM","FA_DM_ITS_REQST__v008.bpml.xml","04_FA_DM\FA_DM_ITS_REQST__v008.bpml.xml","2071","10706","7","FA-INT-APPP:node1:1844b19fbad:817204","11/9/2022 6:05:25 AM","rbmakram","OK",""
"1326","1","FA_FROM_ACADIA_HEALTHCARE_CMT_IB_BD_FD","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_CMT_IB_BD_FD__v001.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_CMT_IB_BD_FD__v001.bpml.xml","350","798","7","FA-INT-APPP:node1:19114217150:46187405","8/18/2024 4:49:04 AM","mzgonal","OK",""
"1328","1","FA_FROM_ACADIA_HEALTHCARE_FRSPFC_IB_BD_FD","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_FRSPFC_IB_BD_FD__v001.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_FRSPFC_IB_BD_FD__v001.bpml.xml","352","801","7","FA-INT-APPP:node1:19114217150:46189137","8/18/2024 4:53:12 AM","mzgonal","OK",""
"1327","1","FA_FROM_ACADIA_HEALTHCARE_FRSPFT_IB_BD_FD","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_FRSPFT_IB_BD_FD__v001.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_FRSPFT_IB_BD_FD__v001.bpml.xml","352","801","7","FA-INT-APPP:node1:19114217150:46188264","8/18/2024 4:51:00 AM","mzgonal","OK",""
"1223","2","FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2S_TR","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2S_TR__v002.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2S_TR__v002.bpml.xml","365","849","7","FA-INT-APPP:node1:195ca6afa65:4110703","3/26/2025 11:07:12 AM","mxkellogg","OK",""
"1254","1","FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2X_NB","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2X_NB__v001.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2X_NB__v001.bpml.xml","353","798","7","FA-INT-APPP:node1:18de388e389:150531564","5/14/2024 4:12:52 AM","mzgonal","OK",""
"1503","13","FA_FROM_ACADIA_HEALTHCARE_IB_EO","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_IB_EO__v013.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_IB_EO__v013.bpml.xml","364","833","7","FA-INT-APPP:node1:19ced66940d:28758518","3/23/2026 1:01:27 PM","mxkellogg","OK",""
"1506","3","FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD__v003.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD__v003.bpml.xml","360","834","7","FA-INT-APPP:node1:19b0ce559f2:122686873","1/8/2026 1:53:01 PM","csbernal","OK",""
"1541","1","FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC","02_FA_FROM","FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC__v001.bpml.xml","02_FA_FROM\FA_FROM_ACADIA_HEALTHCARE_IB_EO_P2S_RC__v001.bpml.xml","354","802","7","FA-INT-APPP:node1:19ced66940d:28763172","3/23/2026 1:03:57 PM","mxkellogg","OK",""
"1231","1","FA_FROM_ACCRETIVE_IB_BD_PULL","02_FA_FROM","FA_FROM_ACCRETIVE_IB_BD_PULL__v001.bpml.xml","02_FA_FROM\FA_FROM_ACCRETIVE_IB_BD_PULL__v001.bpml.xml","368","843","7","FA-INT-APPP:node1:18de388e389:100027862","4/26/2024 1:53:20 AM","vxbandekar","OK",""
