-- ========================
-- 3.1
-- ========================
column_name	data_type	max_length	is_nullable	column_id
FA_FROM_PAY_N_SECONDS_CNSMR_AR_LOG_IB_BD_S2S_SBDL	1309	2	2026-04-23 04:52:00.637	2026-04-24 04:52:00.653
FA_TO_WEBRECON_WORKERS_COMP_OB_BD_S2D_RM	1301	2	2026-04-22 10:25:00.617	2026-04-23 10:25:00.647
FA_FROM_WEBRECON_WORKERS_COMP_IB_BD_PULL	1302	2	2026-04-22 10:55:00.617	2026-04-23 10:55:00.653
FA_TO_WEBRECON_WORKERS_COMP_RESULTS_OB_BD_S2D_RPT	1303	2	2026-04-22 11:45:00.617	2026-04-23 11:45:00.647
FA_FROM_ATHENA_IB_BD_D2S_RT	1304	2	2026-04-22 13:55:00.613	2026-04-23 13:55:00.633
FA_FROM_PATH_GROUP_PAYNSECONDS_IB_BD_PULL	1260	2	2026-04-23 03:45:00.637	2026-04-24 03:45:00.677
FA_TO_ASSOCIATED_PATHOLOGISTS_PNS_EXTRACT_OB_BD_S2D_RPT	1261	2	2026-04-22 22:15:00.633	2026-04-23 22:15:00.663
FA_TO_JACK_HUGHSTON_TO_PAYMENT_PORTAL_OB_EO_S2D_RC	1270	2	2026-04-22 22:00:00.657	2026-04-23 22:00:00.720
FA_TO_SHERIDAN_HEALTHCARE_HFRSTPAY_IB_BD_P2D_TR	1276	2	2026-04-23 03:12:00.630	2026-04-24 03:12:00.633
FA_FROM_MEDICAL_ANESTHESIA_GROUP_IB_BD_SFTP_PULL	1278	2	2026-04-22 16:00:00.603	2026-04-23 16:00:00.647
FA_FROM_GULF_SHORE_ANESTHESIA_IB_BD_SFTP_PULL	1279	2	2026-04-22 16:00:00.620	2026-04-23 16:00:00.647
FA_FROM_AMBULATORY_CONSULTANTS_MEDICAL_GROUP_IB_BD_SFTP_PULL	1280	2	2026-04-22 16:10:00.603	2026-04-23 16:10:00.633
FA_FROM_ANESTHESIOLOGY_CONSULTANTS_OF_MARIN_IB_BD_SFTP_PULL	1281	2	2026-04-22 16:00:00.603	2026-04-23 16:00:00.630
FA_FROM_JONATHAN_LEICHTLING_MD_IB_BD_SFTP_PULL	1282	2	2026-04-22 16:30:00.607	2026-04-23 16:30:00.637
FA_FROM_ANESTHESIA_ASSOCIATES_OF_SEQUIN_IB_BD_SFTP_PULL	1283	2	2026-04-22 16:00:00.603	2026-04-23 16:00:00.647
FA_TO_JACK_HUGHSTON_DIALER_OB_EO_S2D_SP	1286	2	2026-04-22 13:55:00.597	2026-04-23 13:55:00.603
FA_FROM_FORTPAYNE_IB_BD_PULL	1311	2	2026-04-22 09:15:00.623	2026-04-23 09:15:00.643
FA_FROM_VANTAGE_PAY_ARNOT_HEALTH_IB_EO_NT	1314	2	2026-04-22 10:15:00.673	2026-04-23 10:15:00.693
FA_TO_INCEPTION_OB_EO_S2D_ITS	1324	2	2026-04-22 12:55:00.660	2026-04-23 12:55:00.707
FA_FROM_ACADIA_HEALTHCARE_CMT_IB_BD_FD	1326	2	2026-04-22 11:27:00.670	2026-04-23 11:27:00.690
FA_FROM_ACADIA_HEALTHCARE_FRSPFT_IB_BD_FD	1327	2	2026-04-22 11:39:00.663	2026-04-23 11:39:00.693
FA_FROM_ACADIA_HEALTHCARE_FRSPFC_IB_BD_FD	1328	2	2026-04-22 11:56:00.670	2026-04-23 11:56:00.690
FA_TO_PCHCC_OB_BD_S2D_NT	1230	2	2026-04-22 07:09:00.597	2026-04-23 07:09:00.640
FA_FROM_ADENA_HOSPITAL_IB_BD_PULL	1233	2	2026-04-22 09:40:00.590	2026-04-23 09:40:00.607
FA_FROM_NICKLAUS_CHILDREN_HOSPITAL_IB_BD_PULL	1234	2	2026-04-22 09:41:00.597	2026-04-23 09:41:00.617
