CnxtCachWarn	0	0	0
DATA_TABLE_RESTORE	0	0	0
DB_INDEX_REBUILD	0	0	0
DB_INSERT_TEST	0	0	0
DOC_STATISTICS	0	0	0
DOC_STAT_KEY	0	0	0
DelExpCon_MIN	0	0	0
EBXML_ACK_REQ	0	0	0
EBXML_BUSDOCCHAR	0	0	0
EBXML_CPP	0	0	0
EBXML_RECVD_MSG	0	0	0
EBXML_UNACK_REQ	0	0	0
EB_DOC_INFO	0	0	0
EB_DOC_INFO_RESTORE	0	0	0
EB_EVENT	0	0	0
EB_EVENT_ATTR	0	0	0
EB_EVENT_ATTR_RESTORE	0	0	0
EB_EVENT_RESTORE	0	0	0
EB_EVENT_SUBSCR	0	0	0
EB_HAC_DATE	0	0	0
EB_HOST	0	0	0
EB_HOST_OFFER	0	0	0
EB_HOST_PROTOCOL	0	0	0
EB_HOST_URL	0	0	0
EB_HOST_VER	0	0	0
EB_MESSAGE	0	0	0
EB_MESSAGE_RESTORE	0	0	0
EB_NONCE	0	0	0
EB_OFFER_ORD	0	0	0
EB_OFFER_PARTNER	0	0	0
EB_ORD	0	0	0
EB_ORDERID_GEN	0	0	0
EB_ORD_RESTORE	0	0	0
DOC_EDIT_EXTN	0	0	0
DOC_EDIT_MSGS	0	0	0
DOCUMENT_LIFESPAN	0	0	0
DOCUMENT_NURSERY	0	0	0
DOCUMENT_CLONE	0	0	0
EB_PARTNER	0	0	0
EB_PARTNER_ACCT	0	0	0
EB_PARTNER_ORD	0	0	0
EB_PTNER_ORD_SIGNER	0	0	0
EB_PTNER_USER	0	0	0
EB_PTNER_USER_ACCT	0	0	0
EB_PTNER_USER_KEY	0	0	0
EB_PTNER_USER_PERM	0	0	0
EB_TRX	0	0	0
EB_TRX_DETAIL	0	0	0
EB_TRX_DTL_ACCT	0	0	0
EB_TRX_RESTORE	0	0	0
EB_TRX_SIGN	0	0	0
EB_TRX_SIGN_RESTORE	0	0	0
EB_TRX_SRCH	0	0	0
EB_TRX_STATUS	0	0	0
EB_TRX_STATUS_RESTORE	0	0	0
EB_USER	0	0	0
EDIINTDOC	0	0	0
EDIINTDOC_RESTORE	0	0	0
EDI_COMPLIANCE_RPT	0	0	0
EDI_DOCUMENT_STATE	0	0	0
EVENT	0	0	0
EVENT_SUBSCRIBE	0	0	0
EXPORT_TAGS	0	0	0
EDI_SEQUENCE_CHECK	0	0	0
ENVELOPE	0	0	0
ENVELOPE_PARMS	0	0	0
ENVELOPE_VERSIONS	0	0	0
FG_PART_GRP_MEMB	0	0	0
FG_PROV_FACT	0	0	0
FG_PROV_FACT_T	0	0	0
FG_P_FLR	0	0	0
FG_P_FLR_PRM	0	0	0
FG_ARRIVEDFILE	0	0	0
FG_C_FLR	0	0	0
FG_C_FLR_PRM	0	0	0
FG_C_FST	0	0	0
FG_DELIVCHAN	0	0	0
FG_DELIVCHAN_TMPL	0	0	0
FG_DELIVERY	0	0	0
FG_EVENT	0	0	0
FG_EVENTATTR	0	0	0
FG_EVENT_ATTR	0	0	0
FG_EVENT_DEF	0	0	0
FG_EVENT_SUBSCR	0	0	0
FG_EV_DEF_ATTR	0	0	0
FG_EV_DEF_PERM	0	0	0
FG_LIST_PROD_CD	0	0	0
FG_LIST_PROD_CUSTOM	0	0	0
FG_LIST_PROD_FTP	0	0	0
FG_LIST_PROD_FTPS	0	0	0
FG_LIST_PROD_SFTP	0	0	0
FG_P_FLR_TRANS	0	0	0
INTEROP_ERROR_DISPATCH	0	0	0
JETSPEED_GROUP_PF	0	0	0
JETSPEED_ROLE_PF	0	0	0
LIFECYCLE	0	0	0
LIFECYCLE_EXT	0	0	0
LOCKS	0	0	0
LOGS	0	0	0
KEY_CERT_ROLE	0	0	0
KEY_CERT_USER	0	0	0
