-- ========================
-- 6A
-- ========================
WFD_ID	NAME	latest_WFD_VERSION	version_count	latest_version_mod_date	latest_version_edited_by	DESCRIPTION	family	suffix_code	direction	instances_30d	instances_7d	instances_48h	instances_live	instances_restore	runs_status_0	runs_status_1	runs_status_other	is_active_30d	distinct_versions_seen_running	distinct_nodes_seen	earliest_start_30d	latest_start_30d	avg_duration_seconds	max_duration_seconds	velocity_tier	wfd_status	wfd_type	PERSISTENCE_LEVEL	RECOVERY_LEVEL	ONFAULT	DOCTRACKING	EVENT_LEVEL	CATEGORY	ENCODING	LIFE_SPAN	REMOVAL_METHOD
1503	FA_FROM_ACADIA_HEALTHCARE_IB_EO	13	13	2026-03-23 13:01:27.617	mxkellogg	REMOVE SEQUENCE 4 TO RUN ON IT'S OWN	FA_FROM	EO	inbound	20	8	8	8	12	20	0	0	1	1	1	2026-03-27 08:00:00.427	2026-04-24 10:00:00.937	10.250000	77	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1156	FA_INTEGRATION_TOOLS_API_FAILURES_EMAIL	1	1	2023-10-19 13:53:40.650	rbmakram	FIRST LOAD	FA_INTEGRATION	NULL	NULL	20	8	8	8	12	20	0	0	1	1	1	2026-03-27 06:00:00.987	2026-04-24 06:00:00.457	4.150000	12	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1417	FA_B2B_CLIENTS_PLACEMENT_EMAILS_OB_BDEO_S2S_RPT	1	1	2025-02-11 23:41:53.963	glgaonkar	IBM-728 Send placement emails and transaction emails	FA_B2B	NULL	NULL	17	6	6	6	11	17	0	0	1	1	1	2026-03-27 06:00:00.157	2026-04-24 06:00:00.863	5.000000	17	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1223	FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2S_TR	2	2	2025-03-26 11:07:12.957	mxkellogg	UPDATE SEQ IDs & MAKE SEQUENTIAL	FA_FROM	TR	inbound	15	6	6	6	9	15	0	0	1	1	1	2026-03-27 05:53:00.990	2026-04-24 08:53:00.707	42.133333	277	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1254	FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2X_NB	1	1	2024-05-14 04:12:52.707	mzgonal	First_Load	FA_FROM	NB	inbound	15	6	6	6	9	15	0	0	1	1	1	2026-03-27 06:35:00.440	2026-04-24 09:35:00.227	37.066666	424	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1475	FA_FROM_ST_THOMAS_EMERGENCY_MED_IB_BD_PULL	1	1	2025-07-31 09:27:30.000	csbernal	Initial Load 	FA_FROM	PULL	inbound	15	6	6	6	9	15	0	0	1	1	1	2026-03-27 06:00:00.157	2026-04-24 10:00:00.873	10.400000	67	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
948	FA_FROM_UNIVERSITY_OF_MISSOURI_IB_BD_PULL	3	3	2023-01-24 13:13:41.270	sametzler	Remove double quote from SFTP_PULL	FA_FROM	PULL	inbound	15	6	6	6	9	15	0	0	1	1	1	2026-03-27 09:30:00.250	2026-04-24 09:30:00.197	4.200000	19	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1518	FA_HSS_SBO_IB_EOBD_D2S_RC	3	3	2025-12-18 13:35:05.067	jcknox	13 only	FA_OTHER	NULL	NULL	15	6	6	6	9	15	0	0	1	1	1	2026-03-27 11:00:00.150	2026-04-23 15:00:00.887	5.400000	8	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
972	FA_VANTAGE_PAY_IB_BD_FP	1	1	2023-02-15 09:46:44.130	tmrossman	FA_VANTAGE_PAY_IB_BD_FP	FA_OTHER	NULL	NULL	15	6	6	6	9	15	0	0	1	1	1	2026-03-27 07:15:00.867	2026-04-24 10:00:00.273	15.533333	101	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
1456	FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL	1	1	2025-06-11 10:07:29.783	vxbandekar	FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL	FA_DM	NULL	NULL	10	4	4	4	6	10	0	0	1	1	1	2026-03-27 09:40:00.790	2026-04-24 09:40:00.787	15.800000	132	Tier 4 (daily/weekly)	1	1	0	3	false	false	2		NULL	-1	0
